country,region,dhsmics
Afghanistan,badakhshan,badakhshan
Afghanistan,badghis,badghis
Afghanistan,baghlan,baghlan rural
Afghanistan,baghlan urban,baghlan urban
Afghanistan,balkh,balkh rural
Afghanistan,balkh urban,balkh urban
Afghanistan,bamyan,bamyan
Afghanistan,daykundi,daykundi rural
Afghanistan,farah,farah
Afghanistan,faryab,faryab rural
Afghanistan,faryab urban,faryab urban
Afghanistan,ghazni,ghazni
Afghanistan,ghor,ghor
Afghanistan,hilmand,helmand rural
Afghanistan,helmand urban,helmand urban
Afghanistan,hirat,herat rural
Afghanistan,hirat urban,herat urban
Afghanistan,jawzjan,jawzjan rural
Afghanistan,jawzjan urban,jawzjan urban
Afghanistan,kabul,kabul rural
Afghanistan,kabul urban,kabul urban
Afghanistan,kandahar,kandahar rural
Afghanistan,kandahar urban,kandahar urban
Afghanistan,kapisa,kapisa
Afghanistan,khost,khost
Afghanistan,kunar,kunarha
Afghanistan,kunduz,kunduz rural
Afghanistan,kunduz urban,kunduz urban
Afghanistan,laghman,laghman
Afghanistan,logar,logar
Afghanistan,nangarhar,nangarhar rural
Afghanistan,nangarhar urban,nangarhar urban
Afghanistan,nimroz,nimroz
Afghanistan,nuristan,nooristan
Afghanistan,paktika,paktika
Afghanistan,paktya,paktya
Afghanistan,panjsher,panjsher
Afghanistan,parwan,parwan
Afghanistan,samangan,samangan
Afghanistan,sari pul,sar-e-pul
Afghanistan,takhar,takhar rural
Afghanistan,takhar urban,takhar urban
Afghanistan,uruzgan,urozgan
Afghanistan,wardak,wardak
Afghanistan,zabul,zabul
Angola,cuangar,cuando cubango
Angola,cuchi,cuando cubango
Angola,cahama,cunene
Angola,cuanhama,cunene
Angola,ombadja,cunene
Angola,gambos (ex-chiange),huíla
Angola,matala,huíla
Angola,quilengues,huíla
Burundi,buragane,
Burundi,crête congo nil,
Burundi,dépressions de l'est,
Burundi,dépressions du nord,
Burundi,haute altitude,
Burundi,haute altitude,
Burundi,imbo,
Burundi,plateaux humides,
Burundi,plateaux secs de l'est,
Central African Republic,bamingui-bangoran,Baminigui Bangoran
Central African Republic,bangui,Bangui
Central African Republic,bangui ville,Bangui urban
Central African Republic,basse-kotto,Basse Kotto
Central African Republic,haut-mbomou,Haut Mbomou
Central African Republic,haute-kotto,Haute-Kotto
Central African Republic,kémo,Kémo
Central African Republic,lobaye,Lobaye
Central African Republic,mambéré-kadéï,Mambere Kadei
Central African Republic,mbomou,Mbomou
Central African Republic,nana-gribizi,Nana Grebizi
Central African Republic,nana-mambéré,Nana Mambéré
Central African Republic,ombella m'poko,Ombella Mpoko
Central African Republic,ouaka,Ouaka
Central African Republic,ouham,Ouham
Central African Republic,ouham pendé,Ouham Pende
Central African Republic,sangha-mbaéré,Sangha Mbaere
Central African Republic,vakaga,Vakaga
Central African Republic,concentrations in prefectures analyzed,
Central African Republic,prefectures,
Congo Democratic Republic,bas uélé,Bas Uele
Congo Democratic Republic,equateur,Equateur
Congo Democratic Republic,haut-katanga,Haut Katanga
Congo Democratic Republic,haut-lomami,Haut Lomami
Congo Democratic Republic,haut uélé,Haut Uele
Congo Democratic Republic,ituri,Ituri
Congo Democratic Republic,kasaï,Kasai
Congo Democratic Republic,kasai,Kasai
Congo Democratic Republic,kasaï central,Kasai Central
Congo Democratic Republic,kasai central,Kasai Central
Congo Democratic Republic,kasaï oriental,Kasai Oriental
Congo Democratic Republic,kasai oriental,Kasai Oriental
Congo Democratic Republic,kinshasa,Kinshasa
Congo Democratic Republic,kongo central,Kongo Central
Congo Democratic Republic,kwango,Kwango
Congo Democratic Republic,kwilu,Kwilu
Congo Democratic Republic,lomami,Lomami
Congo Democratic Republic,lualaba,Lualaba
Congo Democratic Republic,maï-ndombe,Maindombe
Congo Democratic Republic,maniema,Maniema
Congo Democratic Republic,mongala,Mongala
Congo Democratic Republic,nord kivu,Nord Kivu
Congo Democratic Republic,nord-kivu,Nord Kivu
Congo Democratic Republic,nord ubangi,Nord Ubangi
Congo Democratic Republic,nord-ubangi,Nord Ubangi
Congo Democratic Republic,sankuru,Sankuru
Congo Democratic Republic,sud kivu,Sud Kivu
Congo Democratic Republic,sud-kivu,Sud Kivu
Congo Democratic Republic,sud ubangi,Sud Ubangi
Congo Democratic Republic,sud-ubangi,Tanganyika
Congo Democratic Republic,tanganyika,Tanganyika
Congo Democratic Republic,tshopo,Tshopo
Congo Democratic Republic,tshuapa,Tshuapa
Djibouti,ali sabieh,
Djibouti,arta,
Djibouti,dikhil,
Djibouti,djibouti ville,
Djibouti,obock,
Djibouti,tadjourah,
El Salvador,chalatenango,Central
El Salvador,la paz,Central
El Salvador,san vicente,Central
El Salvador,san salvador,Metropolitana
El Salvador,ahuachapàn,Occidente
El Salvador,la libertad,Occidente
El Salvador,santa ana,Occidente
El Salvador,sonsonate,Occidente
El Salvador,la unión,Oriental
El Salvador,morazán,Oriental
El Salvador,san miguel,Oriental
El Salvador,usulután,Oriental
El Salvador,cabañas,Para Central
El Salvador,cuscatlàn,Para Central
Eswatini,hhohho,Hhohho rural
Eswatini,hhohho urban,Hhohho urban
Eswatini,lubombo,Lubombo
Eswatini,manzini,Manzini rural
Eswatini,manzini urban,Manzini urban
Eswatini,shiselweni,Shiselweni
Ethiopia,afar,afar
Ethiopia,amhara,amhara
Ethiopia,oromia,oromia
Ethiopia,oromiya,oromia
Ethiopia,sidama,snnpr
Ethiopia,snnp,snnpr
